,link,image,addr,zip,redfin_price,sold_price,Beds,Bath,SqFt,YearBuilt,SoldTime,Disc,Stories,Style,Community,County,LotSize,ElemSchool,MidSchool,HighSchool,Walk,Transit,Bike
33,26424068,/6b4e231c40dbff3b0287fa8ae8b7d465_genMid.18638095_3.jpg,3708 SE Liebe St,97202,465208,441854,3,1,2242,1924,SOLD 4/27/18,"Location, location, location! So much potential in this Reed/Woodstock neighborhood bungalow w/ good bones. Original features include fir floors & trim, sash windows, & siding. Ready for cosmetic changes to restore it to its heyday of yesteryear! Full unfinished basement w/excellent clearance & room for expansion. Off-street parking access from 37th Street. Walk score 61, bike score 79. Close to Woodstock,Trader Joes, Reed. [Home Energy Score = 2. HES Report at https://api.greenbuildingregistry.com/report/pdf/R266470-20180314.pdf]",3,Bungalow,Multnomah,18638095,"5,000 Sq. Ft.",5,5,6,70,47,89
34,26477085,/84d4e8c0d02bac680be8c5489e39c220_genMid.18378848_0.jpg,3679 SE Martins St,97202,922285,930000,4,2.5,2767,2017,SOLD 4/25/18,"Amazing 2017 LEED certified Renaissance Home on full lot in fantastic Eastmoreland. This home has it all-4 beds + bonus room + office, functional floorplan, top of line finishes, AC, tankless H2O heater, attached 2-car gar & timeless style! Entertain effortlessly in the dream kitchen & lg covered deck overlooking serene yard. Master retreat w/ soaking tub, airy shower & walk-in closet. Fantastic schools, shops & restaurants minutes away [Home Energy Score = 8. HES Report at https://api.greenbuildingregistry.com/report/pdf/R258074-20180307.pdf]",2,"Old Portland, Craftsman",Multnomah,18378848,"5,000 Sq. Ft.",8,8,6,75,48,86
37,26401630,/de7b79124ab9979341916b6e706d84b3_genMid.18492902_0.jpg,3316 SE 13th Ave,97202,479653,470000,2,1,2184,1916,SOLD 4/19/18,"This quintessential SE PDX bungalow is nestled in a coveted close-in location just blocks from Brooklyn Park, the Aladdin Theatre, Pok Pok Wing & MAX orange line. Features include gorgeous original fir floors, brick fireplace, high ceilings, original built-ins & updated kitchen. Enjoy large bonus room space, bring your vision to unfinished basement & entertain in stunningly beautiful backyard.",2,"Bungalow, 2 Story",Multnomah,18492902,"5,000 Sq. Ft.",5,5,6,90,61,98
38,26531768,/493e081ee525bb9de0c626752ba1fc11_genMid.18550052_0.jpg,8815 SE 16th Pl,97202,635707,674900,4,2.5,2000,2013,SOLD 4/10/18,"HIGHLY SOUGHT SELLWOOD NEIGHBORHOOD. BEAUTIFUL LIVING RM WITH MILLWORK, BOX BEAM TALL CEILINGS, HARDWOODS, GAS FIREPLACE & BUILT-INS. ENTERTAINING DINING & KITCHEN W/SLAB GRANITE, SS APPLIANCES, GAS COOKING. NOOK DESK/STUDY AREA & HALF-BATH MAKE UP MAIN LEVEL. MASTER SUITE W/WIC, HARDWOODS. 2 ADDITIONAL BEDROOMS. LOWER LEVEL BEDROOM OR DEN.Garage HAS SEPARATE BIKE STORAGE ROOM. WALK TO RESTAURANTS, SHOPPING, BIKE PATHS, SHOPPING. [Home Energy Score = 8. HES Report at https://api.greenbuildingregistry.com/report/pdf/R268161-20180130.pdf]",3,"Traditional, Craftsman",SELLWOOD,Multnomah,"2,500 Sq. Ft.",8,8,6,82,46,80
40,58851561,/d38718e79f8383cceaaa790e53ce5417_genMid.17180626_0.jpg,2764 SE Francis St SE,97202,640008,640000,4,2.5,1827,2015,SOLD 4/06/18,"Welcome home to this exceptional Craftsman in close in SE Portland. This beautiful home sits up off the street with an inviting front porch. You will appreciate the designer finishes added to this beautiful home making this home truly special.  The lighting, tile, paint and beautiful flooring were carefully selected to enhance the unique features  With an ideal floorpan and flexible spaces you will be proud to call this home.",2,Craftsman,Portland Southeast,Multnomah,"2,500 Sq. Ft.",5,5,6,75,56,96
41,26490264,/646e8b8b61a38b0940178d7d44ca5e34_genMid.17392456_0.jpg,3980 SE Rural St,97202,716158,719900,3,2.5,2420,2017,SOLD 3/30/18,"New energy star certified home by Portland's most distinguished builder! Home is move-in ready & was just completed. The Harrison plan is a dramatic open plan meant for entertaining with an island w/eating bar.  This home features outdoor covered living w/gas line, quartz counters, upgraded appliances, extensive hickory HW floors & brick touches on exterior. Close to shops, restaurants and parks.",2,"Prairie, NW Contemporary",Multnomah,17392456,"3,263 Sq. Ft.",8,8,6,58,44,77
42,26507197,/a7664d545f88f5c73f15453b2b9adbdf_genMid.17353530_0.jpg,7106 SE 17th Ave,97202,484910,458000,3,1.5,2529,1909,SOLD 3/30/18,"Westmoreland gem waiting for your personal touch! This beautiful 3bed/1.1bth bungalow features a large living room + dining room with hardwood floors, box beam ceilings, a cozy fireplace, an abundance of natural light throughout and window seats. Tons of potential in the large partially finished basement. A fully fenced yard and close to all that Westmoreland/Sellwood has to offer; parks, restaurants, + shopping!",2,Bungalow,Multnomah,17353530,"5,000 Sq. Ft.",8,8,6,91,49,98
44,26504381,/380b995e479368f97524be5618752fe1_genMid.17340198_2.jpg,3328 SE Claybourne St,97202,807515,799900,5,4,3578,1939,SOLD 3/16/18,"RARE 5 BEDROOM IN EAST MORELAND!English gem in one of Portland's most coveted neighborhoods,period details,elegant architectural lines,hardwd flrs,2 fireplaces,remodeled downstairs w/bonus rm/office,temp controlled wine cab,side yard for gardening,200sf+ indoor/outdoor screened in porch is envy of neighborhood.Easy access to parks,bike trails,restaurants,movie theater,golf& DT PDX.OPEN HOUSE SAT 1/20 from 12pm-2pm",3,"English, Tudor",Multnomah,17340198,"5,200 Sq. Ft.",8,8,6,53,47,82
46,109514718,/031a8fd52c0df6019905e6c5ff8e60dd_genMid.17215508_3.jpg,3939 SE 36th Ave,97202,492814,488000,3,2.5,1576,2017,SOLD 3/05/18,"Beautiful New Craftsman home! Certified Earth Advantage home with all of the modern conveniences. Master suite with a double sink, tiled shower, walk-in closet. Custom built-ins, slab quartz counters, and stainless appliances. Open, sunny great room with a fireplace. Sustainable, energy efficient, and quality craftsmanship built to perfection. Great location! Walk to parks, restaurants, and shops!",2,Craftsman,CRESTON - KENILWORTH,Multnomah,"2,525 Sq. Ft.",5,5,6,79,52,91
47,26301252,/27432fb6e8961ca8339691ea4775d951_genMid.18315512_0.jpg,4145 SE Malden St,97202,447423,440000,2,1,1736,1951,SOLD 3/02/18,"Gleaming wd flrs,gorgeous kitchen w/white shaker cabs,beautiful counters,full height subway tile back splash&ss appliances!Other feats include wd burning fireplace,tile flrs,new paint w/designer colors,white millwork,new plumbing&lighting fixtures,renovated bthrm w/brushed nickel accents!The outside is super charming&includes great curb appeal,additional off-street parking,peaceful neighborhood location w/tree-lined streets. [Home Energy Score = 6. HES Report at https://api.greenbuildingregistry.com/report/pdf/R149667-20180112.pdf]",2,"Ranch, 1 Story",Multnomah,18315512,"5,362 Sq. Ft.",7,8,6,54,45,82
